Living Area	Number of Bedrooms	Prices
2104.00	3.00	399900.00
1600.00	3.00	329900.00
2400.00	3.00	369000.00
1416.00	2.00	232000.00
3000.00	4.00	539900.00
1985.00	4.00	299900.00
1534.00	3.00	314900.00
1427.00	3.00	198999.00
1380.00	3.00	212000.00
1494.00	3.00	242500.00
1940.00	4.00	239999.00
2000.00	3.00	347000.00
1890.00	3.00	329999.00
4478.00	5.00	699900.00
1268.00	3.00	259900.00
2300.00	4.00	449900.00
1320.00	2.00	299900.00
1236.00	3.00	199900.00
2609.00	4.00	499998.00
3031.00	4.00	599000.00
1767.00	3.00	252900.00
1888.00	2.00	255000.00
1604.00	3.00	242900.00
1962.00	4.00	259900.00
3890.00	3.00	573900.00
1100.00	3.00	249900.00
1458.00	3.00	464500.00
2526.00	3.00	469000.00
2200.00	3.00	475000.00
2637.00	3.00	299900.00
1839.00	2.00	349900.00
1000.00	1.00	169900.00
2040.00	4.00	314900.00
3137.00	3.00	579900.00
1811.00	4.00	285900.00
1437.00	3.00	249900.00
1239.00	3.00	229900.00
2132.00	4.00	345000.00
4215.00	4.00	549000.00
2162.00	4.00	287000.00
1664.00	2.00	368500.00
2238.00	3.00	329900.00
2567.00	4.00	314000.00
1200.00	3.00	299000.00
852.00	2.00	179900.00
1852.00	4.00	299900.00
1203.00	3.00	239500.00
